country,country_name,gdp_growth_position_eu_long_avg,gdp_growth_change_2014_2025,gdp_growth_covid_shock_vs_pre,gdp_growth_transition_shift_vs_pre,gdp_growth_peak_year,gdp_growth_trough_year,inflation_position_eu_long_avg,inflation_change_2014_2025,inflation_covid_shock_vs_pre,inflation_transition_shift_vs_pre,inflation_peak_year,inflation_trough_year,unemployment_position_eu_long_avg,unemployment_change_2014_2025,unemployment_covid_shock_vs_pre,unemployment_transition_shift_vs_pre,unemployment_peak_year,unemployment_trough_year,gini_position_eu_long_avg,gini_change_2014_2025,gini_covid_shock_vs_pre,gini_transition_shift_vs_pre,gini_peak_year,gini_trough_year,education_position_eu_long_avg,education_change_2014_2025,education_covid_shock_vs_pre,education_transition_shift_vs_pre,education_peak_year,education_trough_year,rnd_position_eu_long_avg,rnd_change_2014_2025,rnd_covid_shock_vs_pre,rnd_transition_shift_vs_pre,rnd_peak_year,rnd_trough_year,ict_specialists_position_eu_long_avg,ict_specialists_change_2014_2025,ict_specialists_covid_shock_vs_pre,ict_specialists_transition_shift_vs_pre,ict_specialists_peak_year,ict_specialists_trough_year,renewables_position_eu_long_avg,renewables_change_2014_2025,renewables_covid_shock_vs_pre,renewables_transition_shift_vs_pre,renewables_peak_year,renewables_trough_year,emissions_position_eu_long_avg,emissions_change_2014_2025,emissions_covid_shock_vs_pre,emissions_transition_shift_vs_pre,emissions_peak_year,emissions_trough_year,debt_position_eu_long_avg,debt_change_2014_2025,debt_covid_shock_vs_pre,debt_transition_shift_vs_pre,debt_peak_year,debt_trough_year,defense_spending_position_eu_long_avg,defense_spending_change_2014_2025,defense_spending_covid_shock_vs_pre,defense_spending_transition_shift_vs_pre,defense_spending_peak_year,defense_spending_trough_year,economic_affairs_spending_position_eu_long_avg,economic_affairs_spending_change_2014_2025,economic_affairs_spending_covid_shock_vs_pre,economic_affairs_spending_transition_shift_vs_pre,economic_affairs_spending_peak_year,economic_affairs_spending_trough_year,fuel_energy_spending_position_eu_long_avg,fuel_energy_spending_change_2014_2025,fuel_energy_spending_covid_shock_vs_pre,fuel_energy_spending_transition_shift_vs_pre,fuel_energy_spending_peak_year,fuel_energy_spending_trough_year,communication_spending_position_eu_long_avg,communication_spending_change_2014_2025,communication_spending_covid_shock_vs_pre,communication_spending_transition_shift_vs_pre,communication_spending_peak_year,communication_spending_trough_year,environment_spending_position_eu_long_avg,environment_spending_change_2014_2025,environment_spending_covid_shock_vs_pre,environment_spending_transition_shift_vs_pre,environment_spending_peak_year,environment_spending_trough_year,health_spending_position_eu_long_avg,health_spending_change_2014_2025,health_spending_covid_shock_vs_pre,health_spending_transition_shift_vs_pre,health_spending_peak_year,health_spending_trough_year,education_spending_position_eu_long_avg,education_spending_change_2014_2025,education_spending_covid_shock_vs_pre,education_spending_transition_shift_vs_pre,education_spending_peak_year,education_spending_trough_year,social_protection_spending_position_eu_long_avg,social_protection_spending_change_2014_2025,social_protection_spending_covid_shock_vs_pre,social_protection_spending_transition_shift_vs_pre,social_protection_spending_peak_year,social_protection_spending_trough_year,total_gov_expenditure_position_eu_long_avg,total_gov_expenditure_change_2014_2025,total_gov_expenditure_covid_shock_vs_pre,total_gov_expenditure_transition_shift_vs_pre,total_gov_expenditure_peak_year,total_gov_expenditure_trough_year,is_core_archetype,is_secondary_archetype,is_archetype_or_reference,archetype_label,archetype_type,has_cluster_assignment,dim_sustainability_capacity,dim_human_capital_capacity,dim_innovation_capacity,dim_social_stability,dim_fiscal_flexibility,dim_security_reprioritization,dim_adaptive_transformation,cluster_k4,structural_family,structural_subfamily,family_anchor_archetype,family_color
AT,Austria,-0.3929085098742064,-0.2,3.1000000000000005,-0.7000000000000002,2022,2020,0.0885928196172882,2.1,1.2833333333333332,4.183333333333334,2022,2015,-0.4304086467596124,-0.2999999999999998,0.4500000000000002,-0.5500000000000007,2016,2019,-0.5454159531717191,0.1999999999999993,-0.5166666666666693,0.6583333333333314,2024,2021,0.4382813714549263,2.200000000000003,0.7999999999999972,1.0249999999999917,2025,2014,1.6682787975382989,0.1499999999999999,0.1299999999999999,0.1225,2021,2015,0.1159284851103966,1.8000000000000005,0.333333333333333,1.083333333333333,2025,2014,1.0147831502219116,9.401000000000003,2.0786666666666704,6.874416666666669,2024,2017,0.1545058093684538,-1.7000000000000002,-0.5999999999999996,-1.6000000000000003,2017,2024,0.3065919040050154,-3.700000000000003,3.38333333333334,-0.4666666666666685,2015,2019,-1.1148445486342802,0.0999999999999999,0.0,0.0499999999999999,2024,2014,0.940312844431409,0.0999999999999996,3.9333333333333327,1.2583333333333335,2020,2016,-0.4675682159439441,0.2,-0.0499999999999999,0.3249999999999999,2022,2021,0.8741797057036519,0.1,0.0333333333333333,0.0333333333333333,2016,2014,-0.9209717186521592,0.2999999999999999,5.551115123125783e-17,0.225,2024,2014,1.6094784047848876,1.3000000000000007,1.799999999999999,1.049999999999999,2021,2014,0.0257622462734034,0.2999999999999998,0.0999999999999996,0.1500000000000003,2024,2022,1.1115990211146174,1.400000000000002,1.9666666666666688,1.2416666666666671,2020,2019,1.0071387110228731,2.8000000000000043,6.916666666666664,3.516666666666673,2020,2019,False,False,False,Other EU country,other,False,0.0832700016825807,0.2732737213823171,0.9793629975671552,0.952534659854854,-0.4163288804431617,-0.8559340155581456,1.5235500000000004,3,Innovation-Core Systems,Innovation-Core Central Variant,Sweden,blue
BE,Belgium,-0.2620806871359104,-0.8,4.583333333333333,0.208333333333333,2021,2020,-0.0055426385633418,2.5,1.75,3.5250000000000004,2022,2020,-0.1815091117427909,-2.499999999999999,-1.0333333333333332,-1.583333333333333,2014,2019,-1.1471374804869243,-2.5,-1.1833333333333265,-1.6333333333333293,2016,2025,-0.2370103817991398,8.700000000000003,3.783333333333331,5.758333333333326,2025,2014,1.4767870585786238,1.0,0.7216666666666671,0.624166666666667,2021,2014,0.451699533802872,1.7000000000000002,0.6833333333333336,1.033333333333334,2025,2014,-0.9932836842490476,6.298,4.112,5.397499999999999,2023,2014,0.5222296356653743,-1.8999999999999984,-0.8666666666666671,-1.8416666666666668,2015,2023,0.9523016508533724,1.3000000000000114,8.299999999999983,1.299999999999983,2020,2019,-0.589428606099245,0.4,0.0833333333333334,0.3083333333333334,2024,2015,0.6903493720796617,-0.8999999999999995,0.916666666666666,-0.3583333333333334,2020,2022,-0.8821841990516545,0.0,1.3877787807814457e-17,1.3877787807814457e-17,2014,2014,0.8741797057036519,-0.1,1.3877787807814457e-17,-0.0499999999999999,2014,2024,1.700794510858716,-0.1999999999999999,0.0999999999999998,-0.1,2014,2016,0.9468009432128208,0.0,0.916666666666666,0.2166666666666667,2020,2019,1.3490620182682418,0.0,0.1166666666666662,0.0416666666666669,2020,2019,0.7726675094570584,0.6999999999999993,2.966666666666665,0.8166666666666664,2020,2019,1.1793173424978682,-1.2999999999999972,5.283333333333331,0.1583333333333314,2020,2019,False,False,False,Other EU country,other,False,-0.0437440111416165,0.3974185782278129,0.9607188876073184,0.7433052626734054,-0.721702286939482,-0.7065308432802088,1.7005833333333331,3,Innovation-Core Systems,Innovation-Core Central Variant,Sweden,blue
BG,Bulgaria,0.0500699074677428,2.2,5.116666666666666,0.3916666666666661,2021,2020,0.0379044959815643,5.1,2.4166666666666665,6.541666666666667,2022,2014,-0.2222771390300289,-8.9,-2.183333333333336,-4.233333333333335,2014,2025,2.2633265824586224,2.3000000000000043,1.4000000000000057,-0.5249999999999986,2019,2014,0.2710575678750965,5.299999999999997,1.1000000000000083,3.6500000000000057,2024,2014,-0.9901870028482116,-0.02,0.0016666666666668,-0.0383333333333332,2015,2017,-0.6182149942341683,2.3,0.4333333333333331,1.4083333333333332,2025,2014,-0.2456095009735776,5.16,2.041166666666665,2.84716666666667,2020,2014,-0.0401715104357978,-1.3999999999999997,-0.5166666666666657,-1.0166666666666666,2022,2024,-1.1521769568266496,2.8999999999999986,-0.399999999999995,-0.1249999999999964,2025,2019,0.0466012190747447,0.0,0.2999999999999998,0.1999999999999997,2020,2016,0.4844971007311638,-2.7,2.533333333333334,0.5333333333333341,2022,2016,1.3195696422789458,1.2,1.6,1.1500000000000004,2022,2014,0.5636158628878808,0.1,0.0666666666666666,0.0666666666666666,2017,2014,-0.2182302550719245,-0.0999999999999999,0.0333333333333332,-0.0916666666666667,2015,2023,-0.7997472817779642,-0.0999999999999996,0.7499999999999991,0.375,2020,2019,-1.0430568003378125,0.2000000000000001,0.3999999999999999,0.4500000000000006,2021,2016,-0.8963731322519685,1.0999999999999996,0.5999999999999996,1.549999999999999,2024,2019,-0.8627212267955753,-4.0,3.700000000000003,1.8500000000000008,2014,2016,False,False,False,Other EU country,other,False,-0.151661423780269,-0.2545881794100671,-0.5650599791174213,-0.8659447918542988,0.7227885884764168,0.5557885883564251,1.5763500000000008,1,Adaptive / Peripheral Systems,Peripheral Security Transition,Spain / Greece,orange
HR,Croatia,0.141878905880582,4.0,10.183333333333334,2.1583333333333328,2021,2020,0.0185946584060504,4.2,2.2,6.375,2022,2016,0.485799124379894,-12.4,-4.583333333333334,-6.383333333333335,2014,2025,-0.0521318742419393,-1.6999999999999993,-1.11666666666666,-0.74166666666666,2015,2020,0.5707811065318402,6.5,2.63333333333334,4.733333333333334,2024,2014,-0.6417654485459743,0.5800000000000001,0.3550000000000001,0.4875000000000001,2022,2014,-0.4873211955913389,2.1000000000000005,0.5333333333333337,1.3333333333333337,2024,2014,0.3828034795360799,-1.34,3.0131666666666668,-0.8583333333333307,2021,2024,-0.6921860259706731,0.7000000000000002,0.1166666666666662,0.3916666666666666,2023,2014,0.1116068615633751,-26.90000000000001,8.966666666666654,-16.75833333333334,2020,2025,-0.1746265462031646,0.3,-0.0333333333333329,0.1916666666666668,2024,2021,0.86679417609266,-0.3999999999999994,3.466666666666667,0.6666666666666661,2020,2017,0.1758014130162962,0.6000000000000001,0.2666666666666666,0.7916666666666665,2022,2014,-0.212793744151547,0.1,0.05,0.05,2020,2014,0.5385682441683284,0.2999999999999999,0.0333333333333332,0.1583333333333333,2024,2015,0.7670918010915827,2.5,1.8833333333333329,1.5583333333333336,2024,2014,0.1614852998113355,-0.2000000000000001,0.5833333333333339,0.1083333333333333,2020,2016,-0.6441450305533197,-1.3999999999999986,1.2666666666666655,-0.9833333333333324,2020,2023,0.27480559848256,-0.7000000000000028,7.450000000000003,0.4750000000000085,2020,2017,False,False,False,Other EU country,other,False,0.5223476728561324,0.4070627838436383,-0.285998035084125,-0.1124939651396858,-0.1245028848459739,-0.0344553625153802,1.689583333333334,1,Adaptive / Peripheral Systems,Peripheral Adaptive Transition,Spain / Greece,orange
CY,Cyprus,0.5389528240161116,5.6,7.033333333333333,0.6333333333333329,2021,2020,-0.4134629573460729,1.1,2.4666666666666663,3.941666666666667,2022,2015,0.4171371836855984,-11.7,-4.199999999999999,-6.449999999999999,2014,2025,0.3072000625646677,-3.599999999999998,-2.6833333333333336,-2.083333333333332,2014,2022,0.2098335523567981,9.099999999999994,3.716666666666669,5.816666666666663,2025,2014,-1.1695353632397123,0.14,0.245,0.1049999999999999,2020,2015,-0.510085334485744,2.1000000000000005,0.7166666666666663,2.141666666666666,2023,2015,-0.6709845901475214,11.7,6.806000000000001,9.164,2024,2014,0.5500406813516957,-0.5,-0.5166666666666657,-0.7416666666666654,2017,2024,0.6105843323785966,-58.5,10.016666666666666,-36.35833333333333,2020,2025,0.7102845149084733,0.1999999999999999,0.1,0.0249999999999999,2017,2015,-0.539863011455408,-8.5,-0.1833333333333335,-2.7833333333333337,2014,2017,-0.567647936004426,0.1,0.05,0.125,2023,2021,1.184743548519423,0.0,1.3877787807814457e-17,1.3877787807814457e-17,2014,2014,-0.4074298798819877,-0.2,0.0999999999999999,0.05,2014,2017,-1.4118815471284325,3.3999999999999995,3.7833333333333337,3.308333333333334,2021,2015,0.2717602808109053,-0.5999999999999996,0.0666666666666673,-0.4083333333333332,2020,2022,-0.6402039664642784,-3.799999999999999,0.166666666666666,-1.8833333333333344,2014,2022,-0.4827803800074191,-13.800000000000004,2.916666666666657,-4.25833333333334,2014,2022,False,False,False,Other EU country,other,False,-0.5556350044291136,0.2346042437384409,-0.8127933828189626,-0.7107558851557247,-0.0300289673646918,0.1991115345433135,3.4079666666666664,1,Adaptive / Peripheral Systems,Peripheral Adaptive Transition,Spain / Greece,orange
CZ,Czechia,-0.0945292650324789,0.3999999999999999,0.4333333333333331,-1.891666666666667,2017,2020,0.3468618971897866,1.9,1.9,6.55,2022,2015,-1.0655315981818465,-3.3,-0.9166666666666664,-1.1666666666666663,2014,2019,-1.3193616632167184,-1.1000000000000014,-0.1166666666666635,-0.3916666666666621,2014,2024,1.1345903240660198,-1.2999999999999972,0.1333333333333399,-0.9416666666666488,2021,2025,0.1970617787017722,-0.1199999999999998,0.1016666666666668,-0.000833333333333,2020,2016,-0.2084604941348762,1.0,0.6500000000000004,0.75,2025,2015,-0.5562830765273858,4.136999999999999,2.2506666666666675,3.5671666666666653,2024,2017,1.035188922768641,-3.0,-1.1333333333333329,-2.408333333333333,2017,2024,-0.7894038857372534,2.799999999999997,5.31666666666667,7.69166666666667,2025,2019,-0.5202949294498983,0.6000000000000001,0.1833333333333334,0.3833333333333334,2024,2014,0.396274698724665,-0.7999999999999998,1.5166666666666666,-0.1583333333333332,2020,2024,0.4617434703319586,-0.5,-0.05,-0.15,2023,2024,-0.5233575869673182,0.0,0.0,0.025,2022,2014,0.5655967619983374,-0.2,-0.0166666666666667,-0.0916666666666666,2015,2016,1.1770532815556578,1.5,2.083333333333333,1.4833333333333334,2021,2017,-0.5934741854934119,0.2000000000000001,0.5500000000000007,0.3500000000000005,2020,2016,-0.9042552604300512,-0.1000000000000014,1.4333333333333318,0.7083333333333339,2020,2017,-0.4276832179354206,0.6000000000000014,5.899999999999999,2.7250000000000014,2020,2017,False,False,False,Other EU country,other,False,-0.3633908788420454,0.443364520242247,0.0949715672135238,0.5532419744487045,0.3580939839086832,-0.1274795695371555,0.5653499999999998,4,Industrial / Transition Systems,Manufacturing Transition Core,Germany,purple
DK,Denmark,-0.1289576394372936,1.6,4.300000000000001,-0.3499999999999996,2021,2020,-0.2927764724991111,1.5,1.4,3.2750000000000004,2022,2016,-0.4196802185261287,-0.5,-0.2500000000000009,-0.2999999999999998,2014,2022,-0.4880078922617878,0.5,-0.4666666666666721,0.55833333333333,2024,2021,-0.3521480826245962,5.200000000000003,1.4833333333333345,2.4083333333333456,2025,2014,1.447829771223746,0.0899999999999998,-0.1266666666666664,0.000833333333333,2016,2021,0.5769022977221001,1.1000000000000003,0.5999999999999988,0.9249999999999998,2023,2015,1.1189061850240771,17.151,3.577500000000001,11.49450000000001,2024,2014,-0.1050639503705484,-3.2,-1.2666666666666655,-2.216666666666666,2014,2024,-0.7909392010320695,-20.800000000000004,3.200000000000003,-10.825000000000005,2014,2025,0.0466012190747447,0.7,0.0666666666666664,0.5166666666666664,2023,2014,-1.2260372492837337,-0.6000000000000001,1.6666666666666663,-0.3833333333333333,2020,2022,-0.4246769073465948,-0.1,0.1,-0.1249999999999999,2020,2023,-0.5233575869673182,0.0,-0.0166666666666666,-0.0166666666666666,2018,2014,-1.1642283791222403,0.0,5.551115123125783e-17,5.551115123125783e-17,2014,2014,1.5083920123416912,-0.6999999999999993,0.6000000000000014,-0.4999999999999982,2021,2022,1.264235109807034,-1.5,-0.6166666666666645,-1.1416666666666648,2014,2022,1.0465714636454344,-4.099999999999998,-0.3166666666666664,-3.0166666666666693,2014,2022,0.6857385989362151,-7.800000000000004,1.11666666666666,-5.408333333333331,2014,2022,False,False,False,Other EU country,other,False,0.1298131453841233,0.2944051943480559,0.608231751396674,0.8935910752629428,0.2723209324801108,-0.1419100314937911,2.4415666666666684,3,Innovation-Core Systems,Nordic Sustainability Frontier,Sweden,blue
EE,Estonia,-0.1771573636040342,-2.7,4.766666666666668,-4.383333333333333,2021,2020,0.4651346523398091,4.3,2.7,7.45,2022,2020,-0.2394426242036028,0.2000000000000001,0.8666666666666663,0.7416666666666663,2024,2019,0.5665994488984311,-4.700000000000003,-2.083333333333332,-1.2833333333333314,2014,2019,0.591798305888868,-0.2999999999999971,0.9166666666666714,-0.0333333333333314,2021,2024,-0.0747630800165955,0.5800000000000001,0.3583333333333334,0.5133333333333334,2024,2016,0.9354374853089809,2.9,1.25,1.875,2024,2014,0.8331724203233631,16.102,4.441000000000006,11.72450000000001,2024,2014,1.2484069396971071,-8.5,-5.416666666666668,-5.991666666666667,2014,2024,-1.3995820500484382,12.500000000000002,9.183333333333335,11.833333333333334,2025,2018,1.899383753277237,1.9,0.3833333333333333,1.1583333333333332,2024,2014,-0.3732206965542432,-0.3000000000000007,1.5000000000000009,0.1500000000000003,2020,2018,-0.0672493357020167,-0.1999999999999999,0.1166666666666666,0.2166666666666666,2022,2018,-0.212793744151547,0.0,0.05,0.05,2021,2014,-0.2993158085619515,0.0,-0.0333333333333335,-0.0333333333333335,2014,2022,-0.4571767296093537,1.0999999999999996,1.166666666666667,0.8416666666666677,2020,2017,1.0097543844234114,0.8999999999999995,0.3666666666666662,0.4166666666666669,2020,2014,-0.9160784526971754,2.5,2.2333333333333325,1.1583333333333332,2020,2014,-0.6078968522125822,6.399999999999999,5.933333333333337,4.008333333333333,2020,2014,False,True,True,Digital Adaptive-State Spotlight,secondary_reference,False,-0.1310478563483723,0.7589807373026853,0.2191155945398266,-0.4425769519402765,0.6422457398729999,1.1127305176855355,1.6154833333333358,1,Adaptive / Peripheral Systems,Adaptive-Security Innovation Bridge,Spain / Greece,orange
FI,Finland,-0.5099649828505763,0.7,1.3,-1.3750000000000002,2017,2020,-0.2686391755297187,0.6000000000000001,1.35,2.825,2022,2015,0.2132970472494084,1.0,-0.6333333333333337,-0.3083333333333353,2025,2019,-0.9238839102816362,1.5,0.5000000000000071,1.000000000000007,2025,2015,0.5104708822899345,1.1999999999999886,1.433333333333323,-0.066666666666677,2020,2014,1.4431592410052174,0.06,0.1116666666666668,0.2691666666666674,2024,2016,1.840312006361584,1.5,0.916666666666668,1.116666666666668,2024,2014,1.6723646310738391,13.491,3.103166666666666,10.41716666666666,2024,2014,0.3430028967979674,-3.8000000000000007,-1.5166666666666675,-2.8166666666666664,2014,2024,0.1045882773585016,23.700000000000003,8.716666666666669,13.891666666666666,2025,2014,0.0466012190747447,0.1,0.0166666666666666,0.1166666666666664,2024,2018,-0.5251592777876581,0.0,0.7000000000000002,0.25,2020,2018,-0.8535899933200883,0.0,0.0833333333333333,-0.0166666666666666,2017,2014,-0.6786395083752037,0.0,0.0,0.0,2014,2014,-1.758855771382439,-0.0999999999999999,-0.0333333333333333,-0.0333333333333333,2014,2016,0.7053167834874071,-0.2000000000000001,0.3999999999999986,0.2249999999999987,2014,2017,1.1624428196535852,-0.1000000000000005,-0.083333333333333,0.0416666666666669,2014,2017,2.006220569327012,1.1999999999999993,0.8999999999999986,0.6000000000000014,2024,2022,1.3824881276383627,0.1000000000000014,1.7666666666666586,1.241666666666653,2024,2019,False,True,True,Nordic Resilience Variant,secondary_reference,False,0.0383882519754138,0.7712596572353948,1.1884990051213709,0.9096478869139306,-0.3120950040620007,-0.3134752658831885,2.063099999999999,3,Innovation-Core Systems,Nordic Innovation Welfare,Sweden,blue
FR,France,-0.3814323850726015,-0.1999999999999999,5.45,0.0749999999999999,2021,2020,-0.2276057706817516,0.3,1.1666666666666663,2.766666666666667,2022,2015,0.3334554434644257,-2.6000000000000005,-1.583333333333334,-2.158333333333334,2014,2022,-0.0648892211108129,1.1999999999999993,0.2166666666666685,0.94166666666667,2025,2018,-0.0323211358872173,6.5,2.950000000000003,4.325000000000003,2025,2014,0.5931227412330023,-0.04,0.0300000000000006,-0.0199999999999995,2020,2023,-0.1800053205168698,1.7000000000000002,0.8166666666666669,0.9916666666666676,2025,2014,-0.4177563427342101,8.866999999999999,3.5798333333333314,6.642333333333331,2024,2014,-0.6829156774085657,-1.6000000000000003,-0.7833333333333323,-1.333333333333333,2016,2024,0.9683127960707396,19.39999999999999,17.10000000000001,14.475000000000009,2025,2014,0.8623786035370361,0.1999999999999999,0.1166666666666667,0.0666666666666668,2016,2014,0.381570965056915,-0.5,1.066666666666667,0.0916666666666676,2021,2019,-0.1101406442993661,0.0999999999999999,0.0833333333333333,0.3833333333333333,2022,2014,-0.0575118227436614,0.1,0.0,0.1,2022,2014,0.6466823154883645,0.0,0.0833333333333333,0.0833333333333333,2014,2015,1.4410010840462268,0.5999999999999996,1.166666666666668,0.6916666666666664,2021,2019,0.1954160631958184,-0.2000000000000001,-0.0333333333333332,-0.1333333333333337,2014,2019,1.7796093842071328,-0.8000000000000007,2.966666666666669,-0.6083333333333307,2020,2023,1.7268453905883534,-1.1000000000000014,4.56666666666667,0.3416666666666614,2020,2019,False,False,False,Other EU country,other,False,0.231776860775395,0.0587737437459969,0.2802175643853296,0.8237470696297525,-0.7991703746743957,0.4733709044024752,1.8653,4,Industrial / Transition Systems,Mixed Industrial-Social Model,Germany,purple
